price,initialPriceCurrency,pricePerM2,nbRooms,level,nbLevels,buildingType,totalSurface,livingSurface,dwellingsState,nbBalconies,nbBathrooms,parking,announceAuthor,housingStock,planning,kitchenSurface,ceilingHeight,region,authorsNick,url
255000,255000 €,1700.00,3,5,5,,150,,,2,2,,Агентство,Новострой,,,,Телецентр,PROTECT IMOBIL,https://999.md/ru/80832447
21300,21300 €,1065.00,1,5,5,,20,,Eвроремонт,,1,Oткрытое,Частное лицо,Вторичный,Малосемейная,,,Телецентр,tanea2005,https://999.md/ru/80891628
58065,58065 €,1055.73,1,9,10,Kирпичный,55,,Белый вариант,,1,Подземная,Агентство,Новострой,,,,Буюканы,Vadim-inHub,https://999.md/ru/80891623
56000,56000 €,622.22,3,7,9,Бетон,90,60,Косметический pемонт,2,2,Oткрытое,Частное лицо,Вторичный,143,12,3,Чокана,IvanGM,https://999.md/ru/80400402
51500,51500 €,990.38,2,9,10,,52,,,1,1,Oткрытое,Застройщик,Вторичный,,,,Буюканы,construction-bmb,https://999.md/ru/80891622
45600,45600 €,814.29,2,3,5,Kотельцовый,56,,Косметический pемонт,2,2,Oткрытое,Агентство,Вторичный,Мс (Молд. Серия),,,Ботаника,ariaghe,https://999.md/ru/80890982
77900,77900 €,1498.08,1,12,17,,52,,Eвроремонт,1,1,,Агентство,Новострой,,,,Ботаника,Connect3333,https://999.md/ru/79952352
49900,49900 €,907.27,2,5,5,,55,,Eвроремонт,1,2,Oткрытое,Агентство,Вторичный,,,,Рышкановка,Loyal-Ciocana,https://999.md/ru/79112616
53900,53900 €,1056.86,2,13,14,,51,,Косметический pемонт,,,,Агентство,Вторичный,,,,Ботаника,Connect3333,https://999.md/ru/79737744
61500,61500 €,1366.67,1,2,12,Kирпичный,45,,Eвроремонт,1,1,,Агентство,Новострой,,,,Телецентр,connect0505,https://999.md/ru/80489801
33500,33500 €,797.62,2,1,5,Kотельцовый,42,,Косметический pемонт,,1,,Агентство,Вторичный,Хрущевка,,,Ботаника,connect0505,https://999.md/ru/80545035
26900,26900 €,996.30,1,1,2,,27,,Eвроремонт,,,Oткрытое,Агентство,Вторичный,,,,Центр,Connect3333,https://999.md/ru/79708027
85900,85900 €,2147.50,1,2,16,Kирпичный,40,,Индивидуальный дизайн,,1,Oткрытое,Агентство,Новострой,Индивидуальная,,,Центр,bestapartments,https://999.md/ru/79805560
45500,45500 €,1058.14,1,3,10,Kомбинированный,43,,Белый вариант,1,1,Подземная,Агентство,Новострой,Индивидуальная,14,270,Телецентр,tina888888,https://999.md/ru/80367322
89900,89900 €,1523.73,1,4,10,,59,,Eвроремонт,1,1,Oткрытое,Агентство,Новострой,,,,Центр,immobiliare-md-001,https://999.md/ru/79971491
67500,67500 €,964.29,2,2,5,,70,,,,,,Частное лицо,Новострой,,,,Буюканы,vasea231986,https://999.md/ru/78789133
64900,64900 €,954.41,2,2,10,,68,,Белый вариант,1,2,Oткрытое,Агентство,Новострой,,,,Чокана,Ecoimobil-Locativ,https://999.md/ru/77502007
86250,86250 €,1250.00,3,1,11,Mонолитный,69,69,Eвроремонт,1,2,Подземная,Агентство,Новострой,Индивидуальная,,,Телецентр,NicolaeRMX,https://999.md/ru/80399258
73500,73500 €,1531.25,2,2,9,Kомбинированный,48,48,Eвроремонт,1,1,Oткрытое,Частное лицо,Новострой,Индивидуальная,12,240,Рышкановка,tory-09,https://999.md/ru/80778170
